CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
01.22.19;Autres fruits tropicaux et subtropicaux
01.23.11;Pomelos et pamplemousses
01.23.12;Citrons et limes
01.23.13;Oranges
01.23.14;Mandarines et clémentines
01.23.19;Autres agrumes
01.24.10;Pommes
01.24.21;Poires
01.24.22;Coings
01.24.23;Abricots
01.24.24;Cerises
01.24.25;Pêches
01.24.26;Nectarines
01.24.27;Prunes
01.24.28;Prunelles
01.24.29;Autres fruits à pépins et à noyau n.c.a.
01.25.11;Kiwis
01.25.12;Framboises
01.25.13;Fraises
01.25.19;Autres baies, fruits du genre vaccinium n.c.a.
01.25.20;Semences fruitières
01.25.31;Amandes
01.25.32;Châtaignes et marrons
01.25.33;Noisettes
01.25.34;Pistaches
01.25.35;Noix
01.25.39;Autres fruits à coque (à l'exclusion des noix sauvages, arachides et noix de coco)
01.25.90;Autres fruits d'arbres ou d'arbustes n.c.a.
01.26.11;Olives de table
01.26.12;Olives à huile
01.26.20;Noix de coco
01.26.90;Autres fruits oléagineux
01.27.11;Café vert, en cerise ou en grain
01.27.12;Thé en feuilles
01.27.13;Maté en feuilles
01.27.14;Cacao en fèves
01.28.11;Poivre (piper spp.), brut
01.28.12;Piments et poivrons (capsicum spp.) séchés, bruts
01.28.13;Muscade, macis et cardamome, bruts
01.28.14;Anis, badiane, coriandre, cumin, carvi, fenouil et genièvre, bruts
01.28.15;Cannelle, brute
01.28.16;Clous de girofle (entiers), bruts
01.28.17;Gingembre séché, brut
01.28.18;Vanille, brute
01.28.19;Autres épices, brutes
01.28.20;Houblon en cônes
01.28.30;Plantes utilisées principalement en parfumerie, en pharmacie ou à des fins insecticides, fongicides ou similaires
01.29.10;Caoutchouc naturel brut
01.29.20;Arbres de noël coupés
01.29.30;Matières premières végétales utilisées principalement pour la vannerie, le rembourrage, la teinture ou le tannage
01.30.10;"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon"
01.41.10;Vaches laitières, vivantes
01.41.20;Lait de vache, brut
01.42.11;Autres bovins et buffles, à l'exclusion des veaux, vivants
01.42.12;Veaux et bufflons, vivants
01.42.20;Sperme de taureau et de buffle
01.43.11;Chevaux, vivants
01.43.12;Ânes, mulets et bardots, vivants
01.44.10;Chameaux et autres camélidés, vivants
01.45.11;Ovins, vivants
01.45.12;Caprins, vivants
01.45.21;Lait de brebis, brut
01.45.22;Lait de chèvre, brut
01.45.30;Laine en suint et poils d'ovins et de caprins
01.46.10;Porcins, vivants
01.47.11;Poulets, vivants
01.47.12;Dindes, vivantes
01.47.13;Oies, vivantes
01.47.14;Canards et pintades, vivants
01.47.21;Œufs de poule, en coquille, frais
01.47.22;Œufs d'autres volailles, en coquille, frais
01.47.23;Œufs de poule, à couver
01.47.24;Œufs d'autres volailles, à couver
01.49.11;Lapins d'élevage, vivants
01.49.12;Oiseaux d'élevage n.c.a., vivants
01.49.13;Reptiles d'élevage (y compris serpents et tortues), vivants
01.49.19;Autres animaux d'élevage n.c.a., vivants
01.49.21;Miel
01.49.22;Lait brut n.c.a.
01.49.23;Escargots, frais, réfrigérés, congelés ou surgelés, séchés ou salés, à l'exclusion des escargots de mer
01.49.24;Produits comestibles d'origine animale n.c.a.
01.49.25;Cocons de vers à soie
01.49.26;Cires d'insectes et spermaceti, affinés et colorés ou non
01.49.27;Embryons animaux destinés à la reproduction
01.49.28;Produits non comestibles d'origine animale n.c.a.
01.49.31;Fourrures d'élevage ou de piégeage, à l'exclusion des peaux d'agneaux
01.49.32;Peaux d'agneaux
01.49.39;Peaux d'animaux n.c.a. (brutes ou conservées, mais non travaillées)
01.61.10;Services de soutien aux cultures
01.62.10;Services de soutien à la production animale
01.63.10;Traitement primaire des récoltes
01.64.10;Traitement des semences
01.70.10;Chasse, piégeage et services annexes
02.10.11;Plants d'arbres forestiers
02.10.12;Semences d'arbres forestiers
02.10.20;Services des pépinières forestières
02.10.30;Arbres forestiers
02.20.11;Grumes de conifères
02.20.12;Grumes de feuillus, à l'exclusion des bois tropicaux
02.20.13;Grumes de bois tropicaux
02.20.14;Bois de chauffage, de conifères
02.20.15;Bois de chauffage, autres que de conifères
02.30.11;Balata, gutta-percha, gommes chiclé et de guayule et gommes naturelles similaires
02.30.12;Gomme laque, baumes et autres gommes et résines naturelles
02.30.20;Liège naturel, brut ou simplement préparé
02.30.30;Parties de plantes, herbes, mousses et lichens utilisables à des fins ornementales
02.30.40;Produits forestiers comestibles
02.40.10;Services de soutien à l'exploitation forestière
03.00.11;Poissons d'ornement, sauvages
03.00.12;Poissons d'ornement, d'élevage
03.00.13;Autres poissons vivants, sauvages, non destinés à l'alimentation humaine, y compris les graines et aliments pour l'aquaculture
03.00.14;Autres poissons vivants, d'élevage, non destinés à l'alimentation humaine, y compris les graines et aliments pour l'aquaculture
03.00.21;Poissons de mer, sauvages, vivants, frais ou réfrigérés, destinés à l'alimentation humaine
03.00.22;Poissons d'eau douce, sauvages, vivants, frais ou réfrigérés, destinés à l'alimentation humaine
03.00.23;Poissons de mer, d'élevage, vivants, frais ou réfrigérés, destinés à l'alimentation humaine
03.00.24;Poissons d'eau douce, d'élevage, vivants, frais ou réfrigérés, destinés à l'alimentation humaine
03.00.31;Crustacés, non congelés ou surgelés, sauvages
03.00.32;Crustacés, non congelés ou surgelés, d'élevage
03.00.41;Huîtres vivantes, fraîches ou réfrigérées, sauvages
03.00.42;Autres mollusques vivants, frais ou réfrigérés, sauvages
03.00.43;Huîtres vivantes, fraîches ou réfrigérées, d'élevage
03.00.44;Autres mollusques, vivants, frais ou réfrigérés, d'élevage
03.00.45;Autres invertébrés aquatiques vivants, frais ou réfrigérés, d'élevage
03.00.46;Autres invertébrés aquatiques vivants, frais ou réfrigérés, sauvages
03.00.51;Perles naturelles, brutes
03.00.52;Perles de culture, brutes
03.00.61;Coraux et produits similaires, coquilles de mollusques, de crustacés ou d'échinodermes et os de seiche
03.00.62;Éponges naturelles
03.00.63;Algues sauvages, destinées à l'alimentation humaine
03.00.64;Algues de culture, destinées à l'alimentation humaine
03.00.65;Algues sauvages, non destinées à l'alimentation humaine
03.00.66;Algues de culture, non destinées à l'alimentation humaine
03.00.69;Autres plantes et animaux aquatiques et leurs produits n.c.a.
03.00.71;Services de soutien à la pêche
03.00.72;Services de soutien à l'aquaculture
05.10.10;Houille
05.20.10;Lignite
06.10.10;Huiles brutes de pétrole ou de minéraux bitumineux
06.10.20;Sables et schistes bitumineux
06.20.10;Gaz naturel, liquéfié ou gazeux
07.10.10;Minerais de fer
07.21.10;Minerais d'uranium et de thorium
07.29.11;Minerais de cuivre
07.29.12;Minerais de nickel
07.29.13;Minerais d'aluminium
07.29.14;Minerais de métaux précieux
07.29.15;Minerais de plomb, de zinc et d'étain
07.29.19;Autres minerais métalliques n.c.a.
08.11.11;Marbres et autres pierres marbrières
08.11.12;Granit, grès et autres pierres ornementales ou de construction
08.11.20;Calcaire industriel et gypse
08.11.30;Craie et dolomie crue
08.11.40;Ardoise
08.12.11;Sables naturels
08.12.12;"Granulats, roches concassées ; cailloux et graviers"
08.12.13;Mélanges de laitiers et de déchets industriels similaires, comprenant ou non des cailloux, graviers, galets et silex pour utilisation dans la construction
08.12.21;Kaolin et autres argiles kaoliniques
08.12.22;"Autres argiles, andalousite, cyanite, sillimanite ; mullite ; chamottes ou terres de dinas"
08.91.11;Phosphates de calcium naturel ou phosphates alumino-calciques
08.91.12;"Pyrites de fer non grillées ; soufre brut ou non raffiné"
08.91.19;Autres minéraux chimiques et engrais minéraux
08.92.10;Tourbe
08.93.10;"Sel et chlorure de sodium pur ; eau de mer"
08.99.10;"Bitumes et asphaltes naturels ; asphaltites et roche asphaltique"
08.99.21;Pierres précieuses et semi-précieuses (à l'exclusion des diamants industriels), brutes ou dégrossies
08.99.22;"Diamants industriels, bruts ou dégrossis ; pierre ponce ; émeri ; corindon et grenat naturels et autres abrasifs naturels"
08.99.29;Autres minéraux
09.10.11;Forages pour l'extraction d'hydrocarbures
09.10.12;Montage, réparation et démontage de tours de forage et services de soutien annexes à l'extraction d'hydrocarbures
09.10.13;Liquéfaction ou regazéification du gaz naturel sur site à des fins de transport
09.90.11;Services de soutien à l'extraction de houille
09.90.19;Services de soutien aux autres industries extractives n.c.a.
10.11.11;Viande bovine, fraîche ou réfrigérée
10.11.12;Viande de porc, fraîche ou réfrigérée
10.11.13;Viande de mouton, fraîche ou réfrigérée
10.11.14;Viande de caprins, fraîche ou réfrigérée
10.11.15;Viande de cheval et autres équidés, fraîche, ou réfrigérée
10.11.20;Abats comestibles d'animaux de boucherie, frais ou réfrigérés
10.11.31;Viande bovine, congelée ou surgelée
10.11.32;Viande de porc, congelée ou surgelée
10.11.33;Viande de mouton, congelée ou surgelée
10.11.34;Viande de caprins, congelée ou surgelée
10.11.35;Viande de cheval et autres équidés, congelée ou surgelée
10.11.39;Autres viandes et abats comestibles, frais, réfrigérés, congelés ou surgelés
10.11.41;Laine de délainage en suint, y compris laine lavée à dos
10.11.42;Cuirs et peaux bruts de bovins ou d'équidés, entiers
10.11.43;Autres cuirs et peaux bruts de bovins ou d'équidés
10.11.44;Cuirs et peaux bruts de moutons ou d'agneaux
10.11.45;Cuirs et peaux bruts de chèvres ou de chevreaux
10.11.50;Graisses d'animaux de boucherie
10.11.60;Sous-produits animaux bruts, non comestibles
10.11.99;Opérations sous-traitées intervenant dans la préparation de viandes de boucherie et produits d'abattage
10.12.10;Viandes de volailles, fraîches ou réfrigérées
10.12.20;Viandes de volailles, congelées ou surgelées
10.12.30;Graisses de volailles
10.12.40;Abats comestibles de volailles
10.12.50;Plumes et duvets
10.12.99;Opérations sous-traitées intervenant dans la préparation de viandes de volailles
10.13.11;Viandes et abats de porc découpés, salés, séchés ou fumés (bacon et jambon)
10.13.12;Viandes de bœuf salées, séchées ou fumées
10.13.13;"Autres viandes et abats comestibles salés, séchés ou fumés (à l'exclusion de la viande de porc et de bœuf) ; farines et poudres de viandes comestibles"
10.13.14;Saucisses et charcuteries similaires
10.13.15;Autres préparations et conserves à base de viandes, abats et sang
10.13.16;"Farines, poudres et pellets de viandes, impropres à l'alimentation humaine ; cretons"
10.13.91;Cuisson et autres façons de préparations à base de viandes
10.13.99;Opérations sous-traitées intervenant dans l'élaboration de produits à base de viandes
10.20.11;Filets de poissons et autres viandes de poisson (y compris hachées), frais ou réfrigérés
10.20.12;Foies et œufs de poissons, frais ou réfrigérés
10.20.13;Poissons, congelés ou surgelés
10.20.14;Filets de poissons, congelés ou surgelés
10.20.15;Viandes de poissons (y compris hachées), congelées ou surgelées
10.20.16;Foies et œufs de poissons, congelés ou surgelés
10.20.21;Filets de poissons séchés, salés, mais non fumés
10.20.22;"Foies, œufs, nageoires, têtes, queues, vessies natatoires et autres abats de poissons comestibles, séchés, salés ou fumés ; farines, poudres et pellets de poissons pour alimentation humaine"
10.20.23;Poissons, séchés, salés ou non, ou en saumure
10.20.24;Poissons, y compris filets, fumés
10.20.25;Autres préparations et conserves à base de poissons, à l'exclusion des plats préparés
10.20.26;Caviar et ses succédanés
10.20.31;Crustacés, congelés ou surgelés, séchés, salés ou en saumure
10.20.32;Mollusques, congelés ou surgelés, séchés, salés ou en saumure
10.20.33;Autres invertébrés aquatiques et algues, congelés ou surgelés, séchés, salés  ou en saumure
10.20.34;Autres préparations et conserves à base de crustacés, mollusques, autres invertébrés aquatiques et algues
10.20.41;Farines, poudres et pellets de poissons, crustacés, mollusques, autres invertébrés aquatiques, impropres à l'alimentation humaine ou algues
10.20.42;Autres sous-produits non comestibles à base de poissons, crustacés, mollusques, autres invertébrés aquatiques ou algues
10.20.91;Fumage et autres façons de préparations à base de poissons
10.20.99;Opérations sous-traitées intervenant dans l'élaboration de préparations et conserves à base de poissons, crustacés et mollusques
10.31.11;Pommes de terre, congelées ou surgelées
10.31.12;Pommes de terre, déshydratées, coupées ou non, mais sans autre préparation
10.31.13;Pommes de terre déshydratées sous forme de farine, de poudre, de flocons, de granulés ou de pellets
10.31.14;Préparations et conserves à base de pommes de terre
10.31.91;Cuisson et autres façons de préparations à base de pommes de terre
10.31.99;Opérations sous-traitées intervenant dans l'élaboration de préparations et conserves à base de pommes de terre
10.32.11;Jus de tomate
10.32.12;Jus d'orange
10.32.13;Jus de pamplemousse
10.32.14;Jus d'ananas
10.32.15;Jus de raisin
10.32.16;Jus de pomme
10.32.17;Mélanges de jus de fruits et légumes
10.32.19;Autres jus de fruits et légumes
10.32.99;Opérations sous-traitées intervenant dans l'élaboration de jus de fruits et légumes
10.39.11;Légumes congelés ou surgelés
10.39.12;Légumes traités pour une conservation temporaire
10.39.13;Légumes déshydratés
10.39.14;Fruits et légumes coupés et emballés
10.39.15;Haricots appertisés, à l'exclusion des plats préparés
10.39.16;Pois appertisés, à l'exclusion de plats préparés
10.39.17;Autres légumes appertisés (à l'exclusion des pommes de terre), à l'exclusion de plats préparés
10.39.18;Fruits et légumes (à l'exclusion des pommes de terre) conservés dans le vinaigre
10.39.21;Fruits crus ou cuits, congelés ou surgelés
10.39.22;Confitures, gelées, compotes et purées de fruits
10.39.23;Fruits à coque grillés, salés ou autrement préparés
10.39.24;Fruits traités pour une conservation temporaire, impropres à une consommation immédiate
10.39.25;Arachides et fruits à coque, sans coques
10.39.29;Autres conserves et préparations à base de fruits et de fruits à coque
10.39.30;Déchets et sous-produits de fruits et légumes
10.39.91;Cuisson et autres façons de préparations à base de fruits et légumes
10.39.99;Opérations sous-traitées intervenant dans l'élaboration de préparations et conserves à base de fruits et légumes
10.41.11;Stéarine solaire, huile de saindoux, oléostéarine, oléomargarine et huile de suif, non émulsionnées, ni mélangées ni autrement préparées
10.41.12;Graisses et huiles de poissons et de mammifères marins et leurs fractions
10.41.19;Autres graisses et huiles animales et leurs fractions, raffinées ou non, mais non chimiquement modifiées
10.41.21;Huile d'arachide, brute
10.41.22;Huile d'olive, brute
10.41.23;Huile de tournesol, brute
10.41.24;Huiles de navette, de colza et de moutarde, brutes
10.41.25;Huile de palme, brute
10.41.29;Autres huiles végétales, brutes
10.41.30;Linters de coton
10.41.41;Tourteaux et autres résidus solides de graisses et d'huiles végétales
10.41.42;Farines et poudres de graines ou de fruits oléagineux, à l'exclusion de la moutarde
10.41.51;Huile de soja et ses fractions, raffinée, mais non chimiquement modifiée
10.41.52;Huile d'arachide et ses fractions, raffinée, mais non chimiquement modifiée
10.41.53;Huile d'olive et ses fractions, raffinée, mais non chimiquement modifiée
10.41.54;Huile de tournesol et ses fractions, raffinée, mais non chimiquement modifiée
10.41.55;Huile de coton et ses fractions, raffinée, mais non chimiquement modifiée
10.41.56;Huiles de navette, de colza et de moutarde et leurs fractions, raffinées, mais non chimiquement modifiées
10.41.57;Huile de palme et ses fractions, raffinée, mais non chimiquement modifiée
10.41.58;Huile de coco et ses fractions, raffinée, mais non chimiquement modifiée
10.41.59;"Autres huiles et leurs fractions, raffinées, mais non chimiquement modifiées ; autres graisses et huiles végétales fixes (à l'exclusion de l'huile de maïs) et leurs fractions n.c.a., raffinées, mais non chimiquement modifiées"
10.41.60;Huiles et graisses animales ou végétales et leurs fractions, hydrogénées, estérifiées, mais non autrement préparées
10.41.71;Cires végétales (à l'exclusion des triglycérides)
10.41.72;"Dégras ; résidus provenant du traitement de corps gras ou de cires animales ou végétales"
10.41.99;Opérations sous-traitées intervenant dans l'élaboration d'huiles et de graisses
10.42.10;Margarines et graisses comestibles similaires
10.42.99;Opérations sous-traitées intervenant dans l'élaboration de margarines et graisses comestibles similaires
10.51.11;Lait liquide
10.51.12;Lait et crème contenant plus de 6 % de matières grasses, non concentrés, ni sucrés
10.51.21;Lait et crème de lait, écrémés, en poudre
10.51.22;Lait et crème de lait, entiers, en poudre
10.51.30;Beurre et pâtes à tartiner laitières
10.51.40;Fromages
10.51.51;Lait et crème, concentrés ou contenant des sucres ajoutés ou d'autres édulcorants, sous forme autre que solide
10.51.52;Yaourts et autres produits lactés fermentés ou acidifiés
10.51.53;Caséine
10.51.54;Lactose et sirop de lactose
10.51.55;Lactosérum
10.51.56;Produits laitiers n.c.a.
10.51.99;Opérations sous-traitées intervenant dans l'élaboration de produits laitiers
10.52.10;Glaces et sorbets
10.52.99;Opérations sous-traitées intervenant dans l'élaboration de glaces et sorbets
10.61.11;Riz, décortiqué
10.61.12;Riz, semi-blanchi ou blanchi ou en brisures
10.61.21;Farine de blé
10.61.22;Farines d'autres céréales
10.61.23;Farines de légumes
10.61.24;Farines préparées
10.61.31;Gruaux et semoules de blé
10.61.32;Gruaux, semoules et pellets d'autres céréales n.c.a.
10.61.33;Céréales pour petit-déjeuner et autres produits à base de céréales
10.61.40;Sons et autres résidus de meunerie
10.61.99;Opérations sous-traitées intervenant dans l'élaboration de produits du travail des grains
10.62.11;"Amidons ; inuline ; gluten de blé ; dextrines et autres amidons modifiés"
10.62.12;Tapiocas et succédanés à base d'amidon, en flocons ou en grains
10.62.13;"Glucose et sirop de glucose ; fructose et sirop de fructose ; sucre inverti ; sucres et sirops de sucre n.c.a."
10.62.14;Huile de maïs
10.62.20;Résidus d'amidonnerie
10.62.99;Opérations sous-traitées intervenant dans l'élaboration de produits amylacés
10.71.11;Pain frais
10.71.12;Pâtisseries et viennoiseries fraîches
10.71.99;Opérations sous-traitées intervenant dans l'élaboration du pain et de pâtisseries et viennoiseries, frais, congelés ou surgelés
10.72.11;Biscottes, toasts, pains grillés et produits grillés similaires
10.72.12;"Pains d'épices ; biscuits sucrés ; gaufres et gaufrettes"
10.72.19;Autres gâteaux secs ou de conservation
10.72.99;Opérations sous-traitées intervenant dans l'élaboration de biscottes, de biscuits et de pâtisseries de conservation
10.73.11;Macaronis, nouilles et autres produits similaires à base de farine
10.73.12;Couscous
10.73.99;Opérations sous-traitées intervenant dans l'élaboration de pâtes alimentaires
10.81.11;Sucre de canne ou de betterave, brut, solide
10.81.12;Sucre de canne ou de betterave raffiné et saccharose chimiquement pur, solide, sans arôme, ni colorant
10.81.13;"Sucre de canne ou de betterave raffiné, contenant des arômes ou des colorants ; sucre et sirop d'érable"
10.81.14;Mélasses
10.81.20;Pulpe de betteraves, bagasses et autres résidus de sucrerie
10.81.99;Opérations sous-traitées intervenant dans l'élaboration du sucre
10.82.11;Cacao en masse, dégraissé ou non
10.82.12;Beurre de cacao
10.82.13;Cacao en poudre, sans sucre, ni autre édulcorant
10.82.14;Cacao en poudre, contenant du sucre ou de l'édulcorant
10.82.21;Chocolat et préparations à base de cacao (à l'exclusion du cacao en poudre sucré), en vrac
10.82.22;Chocolat et préparations à base de cacao (à l'exclusion du cacao en poudre sucré), conditionnés sous différentes formes
10.82.23;Produits de confiserie divers (y compris le chocolat blanc) ne contenant pas de cacao
10.82.24;Fruits confits
10.82.30;Coques, pellicules et autres résidus de cacao
10.82.99;Opérations sous-traitées intervenant dans l'élaboration de cacao, chocolat et produits de confiserie
10.83.11;Café, décaféiné ou torréfié
10.83.12;"Succédanés de café ; extraits, essences et concentrés de café ou de succédanés ; coques et pellicules de café"
10.83.13;Thé vert (non fermenté), thé noir (fermenté) et thé partiellement fermenté, en conditionnements inférieurs ou égaux à 3 kg
10.83.14;Extraits, essences, concentrés et préparations à base de thé ou de maté
10.83.15;Infusions
10.83.99;Opérations sous-traitées intervenant dans l'élaboration du café et du thé
10.84.11;Vinaigres et succédanés de vinaigres obtenus à partir d'acide acétique
10.84.12;"Sauces ; mélanges de condiments et assaisonnements préparés ; farines de moutarde et moutardes préparées"
10.84.21;Poivre (piper spp.), préparé
10.84.22;Piments et poivrons (capsicum spp.) séchés, préparés
10.84.23;"Cannelle, préparée ; autres épices préparées"
10.84.30;Sel de qualité alimentaire
10.84.99;Opérations sous-traitées intervenant dans l'élaboration de condiments et d'assaisonnements
10.85.11;Plats préparés à base de viandes, d'abats ou de sang
10.85.12;Plats préparés à base de poissons, de crustacés et de mollusques
10.85.13;Plats préparés à base de légumes
10.85.14;Plats préparés à base de pâtes
10.85.19;Autres plats préparés
10.85.99;Opérations sous-traitées intervenant dans l'élaboration de plats préparés
10.86.10;Aliments homogénéisés et diététiques
10.86.99;Opérations sous-traitées intervenant dans l'élaboration d'aliments homogénéisés et diététiques
10.89.11;Soupes et potages
10.89.12;"œufs, en conserve, et jaunes d'œufs, frais et en conserve ; œufs cuits, en coquille ; ovalbumine"
10.89.13;"Levures (vivantes ou mortes) ; autres microorganismes unicellulaires, morts ; poudres à lever"
10.89.14;Extraits et jus de viandes, de poissons et d'invertébrés aquatiques
10.89.15;"Sucs et extraits végétaux ; matières peptiques ; mucilages et épaississants"
10.89.16;Préparations alimentaires périssables telles que sandwichs et  pizzas fraîches
10.89.17;Compléments alimentaires destinés à l'alimentation humaine
10.89.19;Produits alimentaires divers n.c.a.
10.89.99;Opérations sous-traitées intervenant dans l'élaboration d'autres produits alimentaires n.c.a.
10.91.10;Aliments pour animaux de ferme, à l'exclusion des fourrages déshydratés (luzerne)
10.91.20;Fourrages déshydratés (luzerne)
10.91.99;Opérations sous-traitées intervenant dans l'élaboration d'aliments pour animaux de ferme
10.92.10;Aliments pour animaux de compagnie
10.92.99;Opérations sous-traitées intervenant dans l'élaboration d'aliments pour animaux de compagnie
11.01.10;Boissons alcoolisées distillées
11.01.99;Opérations sous-traitées intervenant dans l'élaboration de boissons alcoolisées distillées
11.02.11;Vins mousseux, issus de raisin frais
11.02.12;"Vins de raisin frais, à l'exclusion des vins mousseux ; moûts de raisins"
11.02.20;"Lie de vin ; tartre"
11.02.99;Opérations sous-traitées intervenant dans l'élaboration de vins de raisin
11.03.10;"Autres boissons fermentées (cidre, poiré, hydromel) ; mélanges de boissons alcoolisées"
11.03.99;Opérations sous-traitées dans le cadre de l'élaboration du cidre et d'autres vins de fruits
11.04.10;Vermouths et autres vins de raisin frais aromatisés
11.04.99;Opérations sous-traitées intervenant dans l'élaboration d'autres boissons fermentées non distillées
11.05.10;Bière, à l'exclusion des résidus de brasserie
11.05.20;Résidus de brasserie et de distillerie
11.05.99;Opérations sous-traitées intervenant dans l'élaboration de la bière
11.06.10;Malt
11.06.99;Opérations sous-traitées intervenant dans l'élaboration du malt
11.07.11;Eaux minérales et gazeuses, non sucrées, ni aromatisées
11.07.19;Autres boissons non alcoolisées
11.07.99;Opérations sous-traitées intervenant dans l'élaboration d'eaux minérales et boissons rafraîchissantes
12.00.11;Cigares, cigarillos et cigarettes contenant du tabac ou des succédanés
12.00.12;Feuilles de tabac séché, écotées
12.00.19;"Autres tabacs et succédanés manufacturés ; tabacs homogénéisés ou reconstitués ; extraits et essences de tabac"
12.00.20;Déchets de tabac
12.00.99;Opérations sous-traitées intervenant dans l'élaboration de produits à base de tabac
13.10.10;Graisse de suint (y compris lanoline)
13.10.21;Soie grège (non moulinée)
13.10.22;Laine dégraissée ou carbonisée, non cardée ni peignée
13.10.23;Blousses de laine ou de poils fins
13.10.24;Laine et poils fins ou grossiers, cardés ou peignés
13.10.25;Coton, cardé ou peigné
13.10.26;Jute et autres fibres textiles (à l'exclusion du lin, du chanvre commun et de la ramie), travaillés mais non filés
13.10.29;Autres fibres textiles végétales, travaillées mais non filées
13.10.31;Fibres synthétiques discontinues, cardées, peignées ou autrement préparées
13.10.32;Fibres artificielles discontinues, cardées, peignées ou autrement préparées
13.10.40;Fils de soie ou de déchets de soie
13.10.50;"Fils de laine conditionnés ou non pour la vente au détail ; fils de poils fins ou grossiers ou fils de crin"
13.10.61;Fils de coton (autres que fils à coudre)
13.10.62;Fils à coudre de coton
13.10.71;Fils de lin
13.10.72;"Fils de jute ou d'autres fibres textiles libériennes ; fils d'autres fibres textiles végétales ; fils de papier"
13.10.81;"Fils de filaments artificiels ou synthétiques, multiples ou torsadés (autres que fils à coudre et fils de polyamides, polyesters ou de rayonne viscose de haute ténacité), non conditionnés pour la vente au détail ; fils de filaments artificiels ou synthétiques (autres que fils à coudre), conditionnés pour la vente au détail"
13.10.82;Fils de fibres synthétiques discontinues (autres que fils à coudre), contenant 85 % en poids ou plus de ces fibres
13.10.83;Fils de fibres synthétiques discontinues (autres que fils à coudre), contenant moins de 85 % en poids de ces fibres
13.10.84;Fils de fibres discontinues artificielles (autres que fils à coudre)
13.10.85;Fils à coudre en fibres et filaments artificiels ou synthétiques
13.10.91;Effilochés de laine ou de poils fins ou grossiers
13.10.92;Effilochés de coton et autres déchets de coton
13.10.93;Préparation de fibres textiles naturelles
13.10.99;Opérations sous-traitées intervenant dans la fabrication de fils textiles
13.20.11;Tissus de soie ou de déchets de soie
13.20.12;Tissus de laine cardée ou peignée, de poils fins ou grossiers ou de crins
13.20.13;Tissus de lin
13.20.14;Tissus de jute et d'autres fibres textiles libériennes (à l'exclusion du lin, du chanvre commun et de la ramie)
13.20.19;"Tissus d'autres fibres textiles végétales ; tissus de fils de papier"
13.20.20;Tissus de coton
13.20.31;Tissus en fils de filaments artificiels ou synthétiques
13.20.32;Tissus en fibres synthétiques discontinues
13.20.33;Tissus en fibres artificielles discontinues
