01.11.1;Blé
08.93.1;"Sel et chlorure de sodium pur ; eau de mer"
08.99.1;"Bitumes et asphaltes naturels ; asphaltites et roche asphaltique"
08.99.2;"Pierres précieuses et semi-précieuses ; diamants industriels, bruts ou dégrossis ; pierre ponce ; émeri ; corindon et grenat naturels et autres abrasifs naturels ; autres minéraux"
09.10.1;Services de soutien à l'extraction d'hydrocarbures
09.90.1;Services de soutien aux autres industries extractives
10.11.1;Viandes de boucherie, fraîches ou réfrigérées
10.11.2;Abats comestibles d'animaux de boucherie, frais ou réfrigérés
10.11.3;"Viande et abats comestibles congelés ou surgelés ; autres viandes et abats comestibles"
10.11.4;Laine de délainage et cuirs bruts
10.11.5;Graisses d'animaux de boucherie
10.11.6;Sous-produits animaux bruts, non comestibles
10.11.9;Opérations sous-traitées intervenant dans la préparation de viandes de boucherie et produits d'abattage
10.12.1;Viandes de volailles, fraîches ou réfrigérées
10.12.2;Viandes de volailles, congelées ou surgelées
10.12.3;Graisses de volailles
10.12.4;Abats comestibles de volailles
10.12.5;Plumes et duvets
10.12.9;Opérations sous-traitées intervenant dans la préparation de viandes de volailles
10.13.1;Conserves et préparations à base de viande, abats et sang
10.13.9;"Cuisson et autres façons de préparations à base de viandes ; opérations sous-traitées intervenant dans l'élaboration de produits à base de viandes"
10.20.1;Poissons, frais, réfrigérés, congelés ou surgelés
10.20.2;"Autres préparations et conserves à base de poissons ; caviar et ses succédanés"
10.20.3;Crustacés, mollusques, algues et autres invertébrés aquatiques, congelés ou surgelés, préparés ou en conserves
10.20.4;Farines, poudres et pellets, impropres à l'alimentation humaine et autres produits n.c.a. à base de poissons, crustacés, mollusque, autres invertébrés aquatiques ou algues
10.20.9;"Fumage et autres façons de préparations à base de poissons ; opérations sous-traitées intervenant dans l'élaboration de préparations et conserves à base de poissons, crustacés et mollusques"
10.31.1;Préparations et conserves à base de pommes de terre
10.31.9;"Cuisson et autres façons de préparations à base de pommes de terre ; opérations sous-traitées intervenant dans l'élaboration de préparations et conserves à base de pommes de terre"
10.32.1;Jus de fruits et légumes
10.32.9;Opérations sous-traitées intervenant dans l'élaboration de jus de fruits et légumes
10.39.1;Préparations et conserves de légumes, à l'exclusion des pommes de terre
10.39.2;Préparations et conserves de fruits
10.39.3;Déchets et sous-produits de fruits et légumes
10.39.9;"Cuisson et autres façons de préparations à base de fruits et légumes ; opérations sous-traitées intervenant dans l'élaboration de préparations et conserves à base de fruits et légumes"
10.41.1;Huiles et graisses animales et leurs fractions, brutes
10.41.2;Huiles végétales, brutes
10.41.3;Linters de coton
10.41.4;"Tourteaux et autres résidus solides de graisses et d'huiles végétales ; farines et poudres de graines ou de fruits oléagineux"
10.41.5;Huiles raffinées, à l'exclusion des résidus
10.41.6;Huiles et graisses animales ou végétales et leurs fractions, hydrogénées, estérifiées, mais non autrement préparées
10.41.7;"Cires végétales (à l'exclusion des triglycérides) ; dégras ; résidus provenant du traitement de corps gras ou de cires animales ou végétales"
10.41.9;Opérations sous-traitées intervenant dans l'élaboration d'huiles et de graisses
10.42.1;Margarines et graisses comestibles similaires
10.42.9;Opérations sous-traitées intervenant dans l'élaboration de margarines et graisses comestibles similaires
10.51.1;Lait liquide et crème de lait
10.51.2;Lait et crème de lait, sous forme solide
10.51.3;Beurre et pâtes à tartiner laitières
10.51.4;Fromages
10.51.5;Autres produits laitiers
10.51.9;Opérations sous-traitées intervenant dans l'élaboration de produits laitiers
10.52.1;Glaces et sorbets
10.52.9;Opérations sous-traitées intervenant dans l'élaboration de glaces et sorbets
10.61.1;Riz, semi-blanchi ou blanchi, décortiqué ou en brisures
10.61.2;"Farines de céréales et de légumes ; mélanges de ces farines"
10.61.3;Gruaux, semoules, pellets et autres produits à base de céréales
10.61.4;Sons et autres résidus de meunerie
10.61.9;Opérations sous-traitées intervenant dans l'élaboration de produits du travail des grains
10.62.1;"Produits amylacés ; sucres et sirops de sucre n.c.a."
10.62.2;Résidus d'amidonnerie
10.62.9;Opérations sous-traitées intervenant dans l'élaboration de produits amylacés
10.71.1;"Pain ; pâtisseries et viennoiseries fraîches"
10.71.9;Opérations sous-traitées intervenant dans l'élaboration du pain et de pâtisseries et viennoiseries, frais et congelés ou surgelés
10.72.1;"Biscottes et biscuits ; pâtisseries de conservation"
10.72.9;Opérations sous-traitées intervenant dans l'élaboration de biscottes, de biscuits et de pâtisseries de conservation
10.73.1;Macaronis, nouilles, couscous et autres produits similaires à base de farine
10.73.9;Opérations sous-traitées intervenant dans l'élaboration de pâtes alimentaires
10.81.1;"Sucre de canne ou de betterave, brut ou raffiné ; mélasses"
10.81.2;Pulpe de betteraves, bagasses et autres résidus de sucrerie
10.81.9;Opérations sous-traitées intervenant dans l'élaboration du sucre
10.82.1;Cacao en masse, dégraissé ou non, beurre de cacao, cacao en poudre
10.82.2;Chocolat et produits de confiserie
10.82.3;Coques, pellicules et autres résidus de cacao
10.82.9;Opérations sous-traitées intervenant dans l'élaboration de cacao, chocolat et produits de confiserie
10.83.1;Café et thé transformés
10.83.9;Opérations sous-traitées intervenant dans l'élaboration du café et du thé
10.84.1;"Vinaigres ; sauces ; mélanges de condiments ; farines de moutarde et moutardes préparées"
10.84.2;Épices préparées
10.84.3;Sel de qualité alimentaire
10.84.9;Opérations sous-traitées intervenant dans l'élaboration de condiments et d'assaisonnements
10.85.1;Plats préparés
10.85.9;Opérations sous-traitées intervenant dans l'élaboration de plats préparés
10.86.1;Aliments homogénéisés et diététiques
10.86.9;Opérations sous-traitées intervenant dans l'élaboration d'aliments homogénéisés et diététiques
10.89.1;"Soupes, ovoproduits, levures et autres produits alimentaires ; extraits et jus de viandes, de poissons et d'invertébrés aquatiques"
10.89.9;Opérations sous-traitées intervenant dans l'élaboration d'autres produits alimentaires n.c.a.
10.91.1;Aliments pour animaux de ferme, à l'exclusion des fourrages déshydratés (luzerne)
10.91.2;Fourrages déshydratés (luzerne)
10.91.9;Opérations sous-traitées intervenant dans l'élaboration d'aliments pour animaux de ferme
10.92.1;Aliments pour animaux de compagnie
10.92.9;Opérations sous-traitées intervenant dans l'élaboration d'aliments pour animaux de compagnie
11.01.1;Boissons alcoolisées distillées
11.01.9;Opérations sous-traitées intervenant dans l'élaboration de boissons alcoolisées distillées
11.02.1;"Vins de raisin frais ; moûts de raisins"
11.02.2;"Lie de vin ; tartre"
11.02.9;Opérations sous-traitées intervenant dans l'élaboration de vins de raisin
11.03.1;"Autres boissons fermentées (cidre, poiré, hydromel) ; mélanges de boissons alcoolisées"
11.03.9;Opérations sous-traitées dans le cadre de l'élaboration du cidre et d'autres vins de fruits
11.04.1;Vermouths et autres vins de raisin frais aromatisés
11.04.9;Opérations sous-traitées intervenant dans l'élaboration d'autres boissons fermentées non distillées
11.05.1;Bière, à l'exclusion des résidus de brasserie
11.05.2;Résidus de brasserie et de distillerie
11.05.9;Opérations sous-traitées intervenant dans l'élaboration de la bière
11.06.1;Malt
11.06.9;Opérations sous-traitées intervenant dans l'élaboration du malt
11.07.1;Eaux minérales et boissons rafraîchissantes
11.07.9;Opérations sous-traitées intervenant dans l'élaboration d'eaux minérales et boissons rafraîchissantes
12.00.1;Produits à base de tabac, à l'exclusion des déchets
12.00.2;Déchets de tabac
12.00.9;Opérations sous-traitées intervenant dans l'élaboration de produits à base de tabac
13.10.1;Graisse de suint (y compris lanoline)
13.10.2;Fibres textiles naturelles préparées
13.10.3;Fibres artificielles ou synthétiques discontinues préparées
13.10.4;Fils de soie ou de déchets de soie
13.10.5;"Fils de laine conditionnés ou non pour la vente au détail ; fils de poils fins ou grossiers ou fils de crin"
13.10.6;"Fils de coton ; fils à coudre de coton"
13.10.7;"Fils de fibres textiles végétales autres que le coton (y compris le lin, le jute, le coco et le chanvre commun) ; fils de papier"
13.10.8;Fils de fibres discontinues ou de filaments artificiels ou synthétiques
13.10.9;"Effilochés ; préparation de fibres textiles naturelles ; opérations sous-traitées intervenant dans la fabrication de fils textiles"
13.20.1;Tissus (à l'exclusion des tissus spéciaux) en fibres naturelles autres que le coton
13.20.2;Tissus de coton
13.20.3;Tissus (à l'exclusion des tissus spéciaux) en fibres discontinues et filaments artificiels ou synthétiques
13.20.4;Velours, peluches, tissus éponge et autres tissus spéciaux
13.20.5;Imitation de fourrure par tissage
13.20.9;Opérations sous-traitées intervenant dans la fabrication de tissus
13.30.1;Apprêt de textiles
13.91.1;Étoffes à maille
13.91.9;Opérations sous-traitées intervenant dans la fabrication d'étoffes à maille
13.92.1;Linge de maison, articles d'ameublement et de literie
13.92.2;Autres articles textiles confectionnés
13.92.9;Opérations sous-traitées intervenant dans la fabrication d'articles textiles confectionnés, sauf habillement
13.93.1;Tapis et moquettes
13.93.9;Opérations sous-traitées intervenant dans la fabrication de tapis et moquettes
13.94.1;Ficelles, cordes et filets, à l'exclusion des déchets
13.94.2;Chiffons, déchets de cordages et articles textiles usés
13.94.9;Opérations sous-traitées intervenant dans la fabrication de ficelles, cordes et filets
13.95.1;Non-tissés et articles en non-tissés, sauf habillement
13.95.9;Opérations sous-traitées intervenant dans la fabrication de non-tissés et d'articles en non-tissés, sauf habillement
13.96.1;"Fils et filés métallisés ; tissus en fils métalliques et filés métallisés ; fils et cordes de caoutchouc, recouverts de textile ; produits et articles textiles pour usages techniques"
13.96.9;Opérations sous-traitées intervenant dans la fabrication de textiles techniques et industriels
13.99.1;"Tulles, dentelles et broderies ; fils guipés et guipures ; chenilles ; chaînettes"
13.99.9;Opérations sous-traitées intervenant dans la fabrication d'autres textiles n.c.a.
14.11.1;Vêtements en cuir naturel ou reconstitué
14.11.9;Opérations sous-traitées intervenant dans la fabrication de vêtements en cuir
14.12.1;Vêtements de travail pour hommes
14.12.2;Vêtements de travail pour femmes
14.12.3;Autres vêtements de travail
14.12.9;Opérations sous-traitées intervenant dans la confection de vêtements de travail
14.13.1;Vêtements de dessus, en maille
14.13.2;Autres vêtements de dessus, pour hommes et garçonnets
14.13.3;Autres vêtements de dessus, pour femmes et fillettes
14.13.4;Fripes
14.13.9;Opérations sous-traitées intervenant dans la confection de vêtements de dessus
14.14.1;Vêtements de dessous, en maille
14.14.2;Vêtements de dessous, en tissu
14.14.3;Tee-shirts et maillots de corps, en maille
14.14.9;Opérations sous-traitées intervenant dans la confection de vêtements de dessous
14.19.1;Layette, survêtements et autres vêtements de sport, accessoires du vêtement, en maille
14.19.2;Layette, autres vêtements et accessoires de l'habillement, en tissu
14.19.3;"Accessoires en cuir ; vêtements confectionnés en feutres ou en non-tissés ; vêtements confectionnés en textiles enduits"
14.19.4;Articles de chapellerie
14.19.9;Opérations sous-traitées intervenant dans la confection d'autres vêtements et accessoires
14.20.1;Vêtements, accessoires et autres articles en fourrure, à l'exclusion des coiffures
14.20.9;Opérations sous-traitées intervenant dans la confection d'articles en fourrure
14.31.1;Collants, bas, chaussettes et autres articles chaussants à mailles
14.31.9;Opérations sous-traitées intervenant dans la confection d'articles chaussants à mailles
14.39.1;Pull-overs, cardigans, chandails, gilets et articles similaires à mailles
14.39.9;Opérations sous-traitées intervenant dans la confection d'autres articles à mailles
15.11.1;Peaux tannées ou apprêtées
15.11.2;"Cuirs et peaux chamoisés ; cuirs et peaux vernis ou plaqués ; cuirs et peaux métallisés"
15.11.3;Cuirs et peaux épilés de bovins et équidés
15.11.4;Cuirs et peaux épilés d'ovins, caprins et porcins
15.11.5;"Cuirs et peaux d'autres animaux ; cuirs reconstitués à base de cuir"
15.11.9;Opérations sous-traitées intervenant dans la fabrication de cuirs et peaux tannés et apprêtés et de peaux apprêtées et teintées
;
15.12.1;"Articles de sellerie et de bourrellerie ; articles de voyage et de maroquinerie ; autres articles en cuir"
15.12.9;Opérations sous-traitées intervenant dans la fabrication d'articles de sellerie et de bourrellerie et d'articles de voyage et de maroquinerie
15.20.1;Chaussures, autres que chaussures de sport et de protection et chaussures orthopédiques
15.20.2;Chaussures de sport
15.20.3;Chaussures de protection et autres chaussures n.c.a.
15.20.4;"Parties de chaussures en cuir ; semelles intérieures amovibles, talonnettes et articles similaires ; guêtres, jambières et articles similaires, et leurs parties"
15.20.9;Opérations sous-traitées intervenant dans la fabrication de chaussures
16.10.1;"Bois, sciés ou dédossés longitudinalement, tranchés ou déroulés, d'une épaisseur supérieure à 6 mm ; traverses de chemins de fer en bois, non traitées"
16.10.2;"Bois profilés sur au moins une face ; laine de bois ; farine de bois ; plaquettes et particules de bois"
16.10.3;"Bois bruts ; traverses de chemins de fer en bois, imprégnées ou autrement traitées"
16.10.9;"Séchage, imprégnation ou traitement chimique du bois ; opérations sous-traitées intervenant dans la fabrication de bois, sciés et rabotés"
16.21.1;"Bois contreplaqués, bois plaqués et bois stratifiés similaires ; panneaux de particules et panneaux similaires en bois ou en autres matières ligneuses"
16.21.2;"Feuilles de placage ; feuilles pour contreplaqués ; bois densifiés"
16.21.9;"Finition de contreplaqués et panneaux à base de bois ; opérations sous-traitées intervenant dans la fabrication de panneaux et placages à base de bois"
16.22.1;Parquets assemblés en panneaux
16.22.9;Opérations sous-traitées intervenant dans la fabrication de parquets assemblés
16.23.1;Éléments de menuiserie et de charpente (à l'exclusion des bâtiments préfabriqués), en bois
16.23.2;Bâtiments préfabriqués en bois
16.23.9;Opérations sous-traitées intervenant dans la fabrication d'autres éléments de menuiserie et de charpente
16.24.1;Emballages en bois
16.24.9;Opérations sous-traitées intervenant dans la fabrication d'emballages en bois
16.29.1;Autres objets en bois
16.29.2;Objets en liège, vannerie et sparterie
16.29.9;"Services liés à la fabrication d'article en bois et en liège, à l'exclusion de meubles, et façons de vannerie et de sparterie ; opérations sous-traitées intervenant dans la fabrication d'autres objets en bois et d'objets en liège, sparterie et vannerie"
17.11.1;Pâtes de bois et d'autres matières fibreuses cellulosiques
17.11.9;Opérations sous-traitées intervenant dans la fabrication de la pâte à papier
17.12.1;Papier journal, papier à la main et autres papiers et cartons à usage graphique, ni couchés, ni enduits
17.12.2;Papiers toilette, pour serviettes à démaquiller, pour essuie-mains ou serviettes, ouate de cellulose et nappes de fibres de cellulose
17.12.3;Papier pour carton ondulé
17.12.4;Papiers non couchés, ni enduits
17.12.5;Cartons non couchés, ni enduits (autres que les cartons utilisés pour l'écriture, l'impression ou d'autres fins graphiques)
17.12.6;"Parchemin végétal, papiers ingraissables, papiers calque et ""cristal"" et autres papiers calandrés transparents ou translucides"
17.12.7;Papiers et cartons élaborés
17.12.9;Opérations sous-traitées intervenant dans la fabrication de papiers et cartons
17.21.1;Papier et carton ondulés et emballages en papier ou en carton
17.21.9;Opérations sous-traitées intervenant dans la fabrication de papier et carton ondulés et d'emballages en papier ou en carton
17.22.1;Articles en papier à usage sanitaire ou domestique
17.22.9;Opérations sous-traitées intervenant dans la fabrication d'articles en papier à usage sanitaire ou domestique
17.23.1;Articles de papeterie
17.23.9;Opérations sous-traitées intervenant dans la fabrication d'articles de papeterie
17.24.1;Papiers peints
17.24.9;Opérations sous-traitées intervenant dans la fabrication de papiers peints
17.29.1;Autres articles en papier ou en carton
17.29.9;Opérations sous-traitées intervenant dans la fabrication d'autres articles en papier ou en carton
18.11.1;Impression de journaux
18.12.1;Autres travaux d'impression
18.13.1;Travaux de préparation d'impression
18.13.2;Plaques ou cylindres d'impression et autres supports d'impression
18.13.3;Travaux auxiliaires de l'impression
18.14.1;Reliure et services connexes
18.20.1;Reproduction d'enregistrements sonores
18.20.2;Reproduction d'enregistrements vidéo
18.20.3;Reproduction d'enregistrements informatiques
19.10.1;"Cokes et semi-cokes de houille, de lignite ou de tourbe ; charbon de cornue"
19.10.2;"Goudrons de houille, de lignite ou de tourbe ; autres goudrons minéraux"
19.10.3;Brai et coke de brai
19.10.9;Opérations sous-traitées intervenant dans la fabrication de produits de la cokéfaction
19.20.1;Briquettes, boulets et combustibles solides similaires
19.20.2;"Huile et gaz combustibles ; huiles lubrifiantes"
19.20.3;Gaz de pétrole et autres hydrocarbures gazeux, à l'exclusion du gaz naturel
19.20.4;Autres produits pétroliers
19.20.9;Opérations sous-traitées intervenant dans la fabrication de produits du raffinage du pétrole
20.11.1;Gaz industriels
20.11.9;Opérations sous-traitées intervenant dans la fabrication de gaz industriels
20.12.1;Oxydes, peroxydes et hydroxydes
20.12.2;"Extraits tannants ; tanins naturels et dérivés ; matières colorantes n.c.a."
20.12.9;Opérations sous-traitées intervenant dans la fabrication de colorants, pigments et agents tannants
20.13.1;"Uranium et plutonium enrichis ; uranium et thorium appauvris ; autres éléments radioactifs"
20.13.2;"Éléments chimiques n.c.a. ; acides et composés inorganiques"
20.13.3;"Halogénures métalliques ; hypochlorites, chlorates et perchlorates"
20.13.4;"Sulfures et sulfates ; nitrates, phosphates et carbonates"
20.13.5;Autres sels métalliques
20.13.6;Autres produits chimiques inorganiques de base
20.13.9;Opérations sous-traitées intervenant dans la fabrication d'autres produits chimiques inorganiques de base
20.14.1;Hydrocarbures et leurs dérivés
20.14.2;"Alcools, phénols, phénols-alcools et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés ; alcools gras industriels"
20.14.3;"Acides monocarboxyliques gras industriels ; acides carboxyliques et leurs dérivés"
20.14.4;Composés organiques à fonction azotée
20.14.5;"Thiocomposés organiques et autres composés organo-inorganiques ; composés hétérocycliques n.c.a."
20.14.6;"Éthers, peroxydes organiques, époxydes, acétals, hémiacétals ; autres composés organiques"
20.14.7;Produits chimiques organiques de base divers
20.14.8;Lessives résiduaires de l'industrie de la pâte à papier, à l'exclusion du tall-oil
20.14.9;Opérations sous-traitées intervenant dans la fabrication d'autres produits chimiques organiques de base
20.15.1;"Acide nitrique ; acides sulfonitriques ; ammoniac"
20.15.2;"Chlorure d'ammonium ; nitrites"
20.15.3;Engrais azotés, minéraux ou chimiques
20.15.4;Engrais phosphatés, minéraux ou chimiques
20.15.5;Engrais potassiques, minéraux ou chimiques
20.15.6;Nitrate de sodium
20.15.7;Engrais n.c.a.
20.15.8;Engrais d'origine animale ou végétale n.c.a.
20.15.9;Opérations sous-traitées intervenant dans la fabrication d'engrais et de composés azotés
20.16.1;Polymères de l'éthylène, sous formes primaires
20.16.2;Polymères du styrène, sous formes primaires
20.16.3;Polymères du chlorure de vinyle ou d'autres oléfines halogénées, sous formes primaires
20.16.4;"Polyacétals, autres polyéthers et résines époxydes, sous formes primaires ; polycarbonates, résines alkydes, polyesters allyliques et autres polyesters, sous formes primaires"
20.16.5;"Autres matières plastiques sous formes primaires ; échangeurs d'ions"
20.16.9;Opérations sous-traitées intervenant dans la fabrication de matières plastiques sous formes primaires
20.17.1;Caoutchouc synthétique sous formes primaires
20.17.9;Opérations sous-traitées intervenant dans la fabrication de caoutchouc synthétique sous formes primaires
20.20.1;Pesticides et autres produits agrochimiques
20.20.9;Opérations sous-traitées intervenant dans la fabrication de pesticides et d'autres produits agrochimiques
20.30.1;Peintures et vernis à base de polymères
20.30.2;"Autres peintures et vernis et produits connexes ; couleurs fines et encres d'imprimerie"
20.30.9;Opérations sous-traitées intervenant dans la fabrication de peintures, vernis et revêtements similaires, encres d'imprimerie et mastics
20.41.1;Glycérine
20.41.2;Agents tensioactifs, à l'exclusion du savon
20.41.3;Savons et produits de nettoyage
20.41.4;Préparations odoriférantes et cires
20.41.9;Opérations sous-traitées intervenant dans la fabrication de savons, détergents et produits d'entretien
20.42.1;Parfums et produits pour la toilette
20.42.9;Opérations sous-traitées intervenant dans la fabrication de parfums et de produits pour la toilette
20.51.1;"Produits explosifs préparés ; mèches de sûreté ; amorces et capsules fulminantes ; allumeurs ; détonateurs électriques ; feux d'artifice"
20.51.2;Allumettes
20.51.9;Opérations sous-traitées intervenant dans la fabrication de produits explosifs
20.52.1;Colles
20.52.9;Opérations sous-traitées intervenant dans la fabrication de colles
20.53.1;Huiles essentielles
20.53.9;Opérations sous-traitées intervenant dans la fabrication d'huiles essentielles
20.59.1;"Plaques et films photographiques, films à développement instantané ; préparations chimiques et produits non mélangés pour usages photographiques"
20.59.2;"Graisses et huiles animales ou végétales modifiées chimiquement ; mélanges non comestibles de graisses et d'huiles animales ou végétales"
20.59.3;Encres de bureau et de dessin et autres encres
20.59.4;"Préparations lubrifiantes ; additifs ; préparations antigel"
20.59.5;Produits chimiques divers
20.59.6;Gélatines et leurs dérivés, y compris lactalbumines
20.59.9;Opérations sous-traitées intervenant dans l'élaboration d'autres produits chimiques n.c.a.
20.60.1;Fibres synthétiques
20.60.2;Fibres artificielles
20.60.9;Opérations sous-traitées intervenant dans la fabrication de fibres artificielles ou synthétiques
21.10.1;Acide salicylique et ses dérivés, sels et esters
21.10.2;"Lysine, acide glutamique et leurs sels ; sels et hydroxydes d'ammonium quaternaire ; phosphoaminolipides ; amides et leurs dérivés et sels"
21.10.3;"Lactones n.c.a., composés hétérocycliques à hétéroatome(s) d'azote exclusivement, dont la structure comporte un cycle pyrazole non condensé, un cycle pyrimydine, un cycle pipérazine, un cycle triazine non condensé ou des cycles phénotiazine sans autres condensations ; hydantoïne et ses dérivés ; sulfonamides"
21.10.4;"Sucres chimiquement purs, n.c.a. ; éthers et esters de sucre et leurs sels n.c.a."
21.10.5;"Provitamines, vitamines et hormones ; glycosides et alcaloïdes d'origine végétale et leurs dérivés ; antibiotiques"
21.10.6;"Glandes et autres organes ; extraits de glandes ou d'autres organes et autres substances humaines ou animales n.c.a."
21.10.9;Opérations sous-traitées intervenant dans la fabrication de produits pharmaceutiques de base
21.20.1;Médicaments
21.20.2;Autres préparations pharmaceutiques
21.20.9;Opérations sous-traitées intervenant dans la fabrication de préparations pharmaceutiques
22.11.1;Pneumatiques neufs
22.11.2;Pneumatiques rechapés
22.11.9;"Opérations sous-traitées intervenant dans la fabrication de pneumatiques ; rechapage et resculptage de pneumatiques"
22.19.1;Caoutchouc régénéré sous formes primaires ou en plaques, feuilles ou bandes
22.19.2;"Caoutchouc non vulcanisé et articles en caoutchouc vulcanisé ; caoutchouc vulcanisé non durci en fils, cordes, plaques, feuilles, bandes, baguettes et profilés"
22.19.3;Tubes et tuyaux en caoutchouc vulcanisé non durci
22.19.4;Bandes transporteuses et courroies de transmission en caoutchouc vulcanisé
22.19.5;Tissus caoutchoutés, à l'exclusion des toiles à pneu
22.19.6;Vêtements et accessoires de l'habillement en caoutchouc vulcanisé non durci
22.19.7;"Articles en caoutchouc vulcanisé n.c.a. ; caoutchouc durci et articles en caoutchouc durci"
22.19.9;Opérations sous-traitées intervenant dans la fabrication d'autres produits en caoutchouc
22.21.1;Monofilaments supérieurs à 1 mm, joncs, bâtons et profilés, en matières plastiques
22.21.2;Tubes, tuyaux et leurs accessoires, en matières plastiques
22.21.3;Plaques, feuilles, films, bandes et lames, en matières plastiques, non munies d'un support, ni associées à d'autres matières
22.21.4;Autres plaques, feuilles, films, bandes et lames en matières plastiques
22.21.9;Opérations sous-traitées intervenant dans la fabrication de plaques, feuilles, tubes et profilés en matières plastiques
22.22.1;Emballages en matières plastiques
22.22.9;Opérations sous-traitées intervenant dans la fabrication d'emballages en matières plastiques
22.23.1;"Éléments en matières plastiques pour la construction ; linoléum et revêtements de sol durs à surface non plastique"
22.23.2;Constructions préfabriquées en matières plastiques
22.23.9;Opérations sous-traitées intervenant dans la fabrication d'éléments en matières plastiques pour la construction
22.29.1;Vêtements et accessoires de l'habillement (y compris gants) en matières plastiques
22.29.2;Autres produits en matières plastiques n.c.a.
22.29.9;"Façons de travail des matières plastiques ; opérations sous-traitées intervenant dans la fabrication d'autres produits en matières plastiques"
23.11.1;Verre plat
23.11.9;Opérations sous-traitées intervenant dans la fabrication de verre plat
23.12.1;Verre plat travaillé
23.12.9;Opérations sous-traitées intervenant dans la fabrication de verre plat travaillé
23.13.1;Verre creux
23.13.9;"Façonnage du verre creux ; opérations sous-traitées intervenant dans la fabrication de verre creux"
23.14.1;Fibres de verre
23.14.9;Opérations sous-traitées intervenant dans la fabrication de fibres de verre
